*** Dátum: 6-2-2019 ***
*** Konfigurácia kyvadla: ***
Váha:;0.063000;Dåžka lanka:;0.530000
Ubehnutý èas:;Súradnica x:;Súradnica y:;Aktuálna výchylka:;Rýchlos;Zrýchlenie:;Uhlová rýchlos:;Uhlové zrýchlenie:;Potenciálna energia:;Kinetická energia:;Perióda:;Frekvencia:
0;16.959999;12.030999;0.643501;0.000000;-5.886000;4.867451;-11.105661;0.065511;0.000000;1.460395;0.684746
10;16.959999;11.977999;0.927295;0.000000;-7.848000;4.215336;-14.807548;0.098267;0.000000;1.460395;0.684746
43;16.959999;11.977999;0.927295;0.000000;-7.848000;4.215336;-14.807548;0.098267;0.000000;1.460395;0.684746
75;16.906999;11.977999;0.809784;0.000000;-7.103793;4.519315;-13.403384;0.098267;0.000000;1.460395;0.684746
105;16.906999;12.030999;0.556599;1.019735;-5.182642;5.014468;-9.778569;0.065511;0.032756;1.460395;0.684746
138;16.906999;12.083999;0.283794;1.442123;-2.746800;5.332025;-5.182642;0.032756;0.065511;1.460395;0.684746
170;16.906999;12.030999;0.556599;1.019735;-5.182642;5.014468;-9.778569;0.065511;0.032756;1.460395;0.684746
203;16.906999;12.083999;0.283794;1.442123;-2.746800;5.332025;-5.182642;0.032756;0.065511;1.460395;0.684746
235;16.959999;12.030999;0.643501;1.019735;-5.886000;4.867451;-11.105661;0.065511;0.032756;1.460395;0.684746
266;16.959999;12.083999;0.330297;1.442123;-3.181622;5.292852;-6.003060;0.032756;0.065511;1.460395;0.684746
315;16.959999;11.977999;0.927295;0.000000;-7.848000;4.215336;-14.807548;0.098267;0.000000;1.460395;0.684746
345;17.012999;11.977999;1.080839;0.000000;-8.655882;3.733164;-16.331854;0.098267;0.000000;1.460395;0.684746
378;17.012999;11.977999;1.080839;0.000000;-8.655882;3.733164;-16.331854;0.098267;0.000000;1.460395;0.684746
410;17.118999;12.083999;0.643501;1.442123;-5.886000;4.867451;-11.105661;0.032756;0.065511;1.460395;0.684746
